wavelength, flux 
472.300,  1.030 
472.400,  1.018 
472.500,  0.971 
472.600,  1.005 
472.700,  0.978 
472.800,  0.993 
472.900,  0.999 
473.000,  0.971 
473.100,  0.964 
473.200,  0.979 
473.300,  0.990 
473.400,  0.971 
473.500,  1.002 
473.600,  0.998 
473.700,  1.025 
473.800,  0.988 
473.900,  1.009 
474.000,  0.979 
474.100,  0.972 
474.200,  1.016 
474.300,  0.997 
474.400,  0.970 
474.500,  1.005 
474.600,  0.986 
474.700,  1.036 
474.800,  1.034 
474.900,  0.996 
475.000,  1.012 
475.100,  1.024 
475.200,  0.993 
475.300,  1.010 
475.400,  0.984 
475.500,  1.000 
475.600,  1.026 
475.700,  1.020 
475.800,  1.003 
475.900,  0.961 
476.000,  1.052 
476.100,  1.041 
476.200,  0.977 
476.300,  1.007 
476.400,  1.004 
476.500,  1.014 
476.600,  1.024 
476.700,  1.022 
476.800,  0.986 
476.900,  1.007 
477.000,  1.005 
477.100,  1.016 
477.200,  1.033 
477.300,  0.996 
477.400,  1.045 
477.500,  1.005 
477.600,  0.997 
477.700,  1.011 
477.800,  1.001 
477.900,  1.029 
478.000,  0.965 
478.100,  1.024 
478.200,  1.012 
478.300,  0.993 
478.400,  1.031 
478.500,  0.980 
478.600,  0.978 
478.700,  0.991 
478.800,  0.995 
478.900,  1.019 
479.000,  0.964 
479.100,  1.045 
479.200,  1.016 
479.300,  1.009 
479.400,  0.997 
479.500,  0.985 
479.600,  0.994 
479.700,  1.055 
479.800,  1.023 
479.900,  0.990 
480.000,  0.998 
480.100,  1.001 
480.200,  1.009 
480.300,  1.004 
480.400,  1.009 
480.500,  0.964 
480.600,  0.991 
480.700,  0.963 
480.800,  1.015 
480.900,  0.987 
481.000,  1.033 
481.100,  0.979 
481.200,  0.995 
481.300,  1.045 
481.400,  1.025 
481.500,  1.010 
481.600,  0.999 
481.700,  1.030 
481.800,  1.019 
481.900,  1.039 
482.000,  0.979 
482.100,  0.985 
482.200,  0.977 
482.300,  0.988 
482.400,  0.934 
482.500,  1.026 
482.600,  0.999 
482.700,  0.966 
482.800,  0.981 
482.900,  0.936 
483.000,  0.946 
483.100,  0.976 
483.200,  0.984 
483.300,  1.011 
483.400,  0.964 
483.500,  0.977 
483.600,  0.923 
483.700,  0.927 
483.800,  0.944 
483.900,  0.929 
484.000,  0.915 
484.100,  0.881 
484.200,  0.892 
484.300,  0.879 
484.400,  0.864 
484.500,  0.852 
484.600,  0.848 
484.700,  0.834 
484.800,  0.787 
484.900,  0.777 
485.000,  0.761 
485.100,  0.692 
485.200,  0.718 
485.300,  0.671 
485.400,  0.643 
485.500,  0.600 
485.600,  0.576 
485.700,  0.576 
485.800,  0.495 
485.900,  0.475 
486.000,  0.409 
486.100,  0.298 
486.200,  0.336 
486.300,  0.423 
486.400,  0.520 
486.500,  0.543 
486.600,  0.555 
486.700,  0.597 
486.800,  0.623 
486.900,  0.671 
487.000,  0.706 
487.100,  0.718 
487.200,  0.708 
487.300,  0.772 
487.400,  0.769 
487.500,  0.793 
487.600,  0.818 
487.700,  0.843 
487.800,  0.831 
487.900,  0.881 
488.000,  0.912 
488.100,  0.897 
488.200,  0.891 
488.300,  0.938 
488.400,  0.924 
488.500,  0.930 
488.600,  0.925 
488.700,  0.927 
488.800,  0.915 
488.900,  0.935 
489.000,  0.972 
489.100,  0.908 
489.200,  0.960 
489.300,  0.960 
489.400,  0.953 
489.500,  0.962 
489.600,  0.988 
489.700,  1.023 
489.800,  0.996 
489.900,  0.993 
490.000,  1.028 
490.100,  0.960 
490.200,  0.975 
490.300,  0.967 
490.400,  1.001 
490.500,  0.988 
490.600,  1.009 
490.700,  0.995 
490.800,  0.995 
490.900,  0.962 
491.000,  0.973 
491.100,  1.001 
491.200,  1.030 
491.300,  1.014 
491.400,  0.986 
491.500,  1.010 
491.600,  1.003 
491.700,  0.998 
491.800,  1.009 
491.900,  0.972 
492.000,  1.023 
492.100,  0.990 
492.200,  0.928 
492.300,  1.017 
492.400,  0.970 
492.500,  0.983 
492.600,  0.987 
492.700,  1.024 
492.800,  0.959 
492.900,  0.988 
493.000,  1.014 
493.100,  1.026 
493.200,  1.007 
493.300,  1.002 
493.400,  0.961 
493.500,  1.007 
493.600,  0.996 
493.700,  0.998 
493.800,  0.976 
493.900,  1.035 
494.000,  0.993 
494.100,  0.996 
494.200,  1.011 
494.300,  1.044 
494.400,  1.025 
494.500,  1.018 
494.600,  1.024 
494.700,  0.987 
494.800,  1.050 
494.900,  0.972 
495.000,  1.005 
495.100,  0.992 
495.200,  0.975 
495.300,  1.001 
495.400,  0.967 
495.500,  1.017 
495.600,  1.027 
495.700,  0.990 
495.800,  0.971 
495.900,  0.984 
496.000,  0.997 
496.100,  0.979 
496.200,  0.972 
496.300,  1.004 
496.400,  1.015 
496.500,  0.986 
496.600,  0.995 
496.700,  1.004 
496.800,  1.002 
496.900,  1.008 
497.000,  0.994 
497.100,  0.996 
497.200,  0.984 
497.300,  1.005 
497.400,  1.006 
497.500,  1.010 
497.600,  1.033 
497.700,  1.028 
497.800,  0.972 
497.900,  0.988 
498.000,  1.018 
498.100,  0.978 
498.200,  1.011 
498.300,  0.977 
498.400,  1.003 
498.500,  1.002 
498.600,  1.014 
498.700,  1.012 
498.800,  1.028 
498.900,  1.009 
499.000,  0.989 
499.100,  0.968 
499.200,  0.991 
499.300,  0.997 
499.400,  0.976 
499.500,  1.019 
499.600,  1.030 
499.700,  0.981 
499.800,  1.037 
499.900,  0.990 
